689.0383055430374
PIPRETHA,46
SINGRAWALI,27
SONI KHERA,259
UDENA,435
AMAHI,101
BADAGAON,325
BITHONA,104
CHOURANGAHAR,290
FATEHPURA,0
GADHBAR,5
GADHIA PRATAPPURA,0
GARHI BAROLI,1
KACHORA GHAT,217
KAMTARI,127
KARANPURA,1
KHERA RATHOR,292
KHILAWALI,3
KOOKAPUR,416
KORATH,376
KYARI,198
MADHEPURA,292
MAHUA,432
MALONI,284
MAU,378
MUKUTPURA,0
NAHTOLI,0
NAUGAWAN,171
NAYEPURA,0
PAHARPURA,115
PAI,0
PARANA,438
RICHHAPURA,0
ROOPPURA,209
SAJAITI,198
SAMARAMAU,264
SHAHAPUR BRAHAMAN,50
SHAHAPUR GOOJAR,4
SUJANPURA,419
UDAYPUR KALAN,43
UDHANNAPURA,112
BAILOTH,31
BANDHANU,4
GURHA,262
HAZIPUR KHERA,183
KHANDIA,183
KUBERPUR,133
PESAI,431
ROOPDHANDU,244
SARAI DAY RUPPA,304
SEORA,0
SORAI,412
UJRAI,242
UNCHA,248
ATA,307
AURANGPUR,0
AYELA,13
BAKALPUR,114
BASAI KHERAGARH,273
BEESALPUR,185
BHAKER,15
BHENSON,0
BIDHAULI KHERAGARH,33
BISHRAMPUR,204
BURHERA,365
CHEET,289
DANKASA,289
DIGRAUTA,409
DUNGARWALA,272
GHUSIANA,193
GORAU,267
KAGAROL,338
KHANPUR,7
KULHARA,311
LAKHANPURA,363
LALPUR,83
MAHUA KHERA,106
NAGLA DULEH KHAN,220
PAHADI KALAN,97
RASULPUR,285
RITHORI,288
SALAHNAGAR BARBAR,62
SARENDA,344
SITOULI,27
SOUN,223
UNTGIRI,0
ARJUN PURA,294
ARNOTA,350
BAGHRENA,0
BHARI NAGLA,0
GAJOURA,385
KANKAR KHEDA,0
KHERDANDA,0
LADHAVAPURA,0
MANIKPURA,0
MANONA,0
NAGLA DALEL,0
ONDH,0
PAPRINAGAR,0
RATAUTI,437
SABORA,209
SERAB,314
SIKTHARA,166
BASAI KALAN,0
BIRAI,0
BISAHARA,248
BRITHALA,60
CHITAPUR MOTIPURA,81
GARSAN,262
GOHARRA,255
HIRONDA,355
JONAI,234
KUKAWAR,251
LAHCHORA,310
MAHAO,411
MAHDEWA,15
MANGALPUR BANTARA,5
MIHAWA,278
MUKHRAI,313
NAGLA INAMI,269
NAGLA MOHARE,165
PACHMORI,144
PANOTA,0
PUSENTA,0
RAGHUPURA,406
RAHALAI,241
RAJPURA,0
SIARMAU,105
SILOKHAR,93
SONRA,240
TAHARPUR,87
THAPENRA,209
BAKALPUR,0
BANGURI,429
BAROBARA KALAN,425
BAROBARA KHURD,0
BHANPURA,78
BISAURI GAURWA,13
DABARI,278
GUBRARI,416
HIMAYUNPUR ROHAI,292
ISAULI,399
JARAULI,285
KOLARA KALAN,147
KOLARA KHURD,250
KOLARI,213
KURRA CHITTERPUR,171
LAHAR PATTI,340
LAHARA,277
LAKHURANI,0
LOHARI IRADATNAGAR,280
MIRPUR,331
MUTNAI,280
MUZAFFARPUR,180
NAGLA BHIKKI,122
NAGLA DHIR,206
PATTI SHAIKHUPUR,0
PAUSER,72
SEWALA GORAWA,238
SHAHPUR TOOLA,395
THAP MAHADWARI,231
THERAI,387
TONDRA,359
UNCHA,0
KHERIYA KHANDAULI,0
JALALPUR,260
SHEKHUPUR,0
GADOLI  KALAN,0
DANDA,0
ARRJI PALIYA,199
BIHARI,375
UJHAOLI,246
GADPURA,0
PARIHAR,212
RAHAN KHURD,28
BIHARIPUR,22
KHARKANA,0
MOHISINABAD,0
NAGLA MAHASINGH,102
SANWAI,0
BANDRAULI,29
GUJARPURA,188
NURPUR,88
SURODHI,54
BHAWANPURA,50
CHACHOND,99
GARHI KARIMPUR,0
KATHUMARI,103
ROODHAU,3
BHIPAWALI,17
DARKI,0
MOHANPUR,0
SHAHPUR NADIM,0
SHERPUR,1
GADOLI KALAN,0
SURAJPURA,0
TOR,0
DHAURRA,24
FATEHABAD RURAL,185
KRAPAL PURA,0
BASAI BHADORIYA,0
SHAHPUR KHALSA,0
BEDPURA,9
CHANDRAPURA,4
CHORANGABEHAR,0
GARHI RAMPRA,100
TALEPUR,160
TAMKAULI,156
TAQIPUR,0
TEJPUR,141
VEERPUR CHHABIL GARHI,390
AIDALPUR,233
AINCHANA,73
AKRAVAT,50
ANDALA,259
ARNI,41
ARRANA,59
BAJHERA,101
BALIPUR,50
BAMANI,62
BANKNER,205
BHAMRAULA,126
BHANAULI,68
BHOGPUR,90
BIHARIPUR,195
BILKHORA,267
CHAMAR NAGARIA,307
CHAUDHANA,17
CHAUMUNHA,89
CHITI,218
DHUMRA,153
DIWAHAMIDPUR,324
FATEH GARHI,197
GARHI URF NAGALA SHYAURAM,114
GODOLI,96
GOMAT,145
ISMAILPUR,108
JARARA,93
KASISON,190
KAURAH RUSTAMPUR,225
KHERA,92
KHERA SATTU,112
KIRATPUR,56
LAKSHMAN GARHI,248
LOHAGARH,258
MADANPUR,192
MAHGAURA,407
MANGOLA,177
MANPUR KHURD,124
MARHA HABIBPUR,174
MATHNA,204
MAU,75
MOHASAN PUR,257
NAGOLA,113
NAHRAULA,87
NANDPUR PALA,155
NARAYANPUR,125
NAYAL,301
NAYELA,155
PALA SALLU,140
PALACHAND,70
RAIPUR,392
RASULPUR,207
RAYAT,274
RESARI,245
SABHAPUR,245
SAHROI,179
SAJANA,145
SOFA,264
SUJANPUR,31
SUJAPUR,128
UDAI GARHI,113
USRAM,115
UTVARA,311
VAJIDPUR,187
VIRAMPUR,94
VIRAULA,100
AISI,190
AJITPURASNA,104
AKBARPUR,366
ALAHADADPUR NIVRY,268
AMARPUR KONDALA,46
AMARPUR NAHRA,137
BADWAMNI,143
BAHMATI,289
BALBHADRAPUR,221
BARAULA JAFRABAD,175
BARHAULI FATEH KHAN,37
BARON,141
BAROTHCHAJMAL,78
BHADESI MAFI,335
BHAGWANPUR,54
BHAKRAULA,86
BHANKRI KHAS,228
BHARATPUR,163
BHARTRI,244
BHIKAMPUR,221
BINUPUR,152
BITHANA,110
CHANDRAULA,200
CHIKAURA,284
CHUAWALI,208
DAULRA NIRPAL,73
DEOSAINI,278
DIGSI,181
DUNAI,236
ELAMPUR,217
GOVINDPUR FAGOI,227
HARDASPUR,132
HASANPUR BUZURG,222
HAYATPUR HINGOTIA,263
HIRPUR HUSSAINPUR,208
HTALPUR,152
IBRAHIMPUR,164
ILYASPUR MAHRAWAL,357
JAHANGIRABAD,129
JATANPUR CHIKAWATI,63
JIROLLIDOR,285
KAITHWARI,145
KALUA,308
KAREHLA GORWA,92
KARSUA,244
KESHOPUR JOPHRI,245
KHERA KHUS KHABAR,164
KHERIA HAIVAT KHAN,248
KIRATPUR NIMANA,147
LEKHRAJPUR,132
LODHA,184
LOHARRA NAGLA BARON,93
LUOSARA BISAWAN,184
MADAR KHERA,244
MAHRAWAL,334
MAHUA KHERA,169
MAINATH,418
MANOHARPUR KAYASTHA,213
MOOSEPUR KAREEBJIRAULI,97
MUKUNDPUR,410
NADROE,23
NAHRA,150
NAUGAWAN ARJUN,0
NAUHATI,241
NOORPUR,141
PALAAISI,196
PARIYAVALI,327
PINJRI NAGRI,129
RANA,174
RANIHAL,153
RUSTAMPUR DAULA,44
RUSTAMPUR SAKATKHAN,1
SAHARANPUR,294
SAMASTPURKEERAT,148
SEMLA,64
SHAHARIMADAN GARI,180
SHAHPUR KUTUB,134
SHAHPUR MADRAK,202
SIKHARAN,231
SINGHARPUR,59
SUKHRAVALI,114
TAJPUR RASOOLPUR,394
TALASPUR KALAN,193
TALASPUR KHURD,181
WAJIDPUR NADA,149
ADAMPUR,160
ATARI,118
BAIRAMGANJ,72
BAJAUTA,430
BAJIDPUR,63
BALAMPUR,316
BHARATPURA,68
BHOJAKA,105
BICHPURI,175
BIJANA KI NAGALIYA,342
BULAKIPUR,421
BURHAKA,152
CHHAJJUPUR,175
DAMUAKA,244
DEWAKA,163
FAIZUAKA,31
GHANGHAULI,300
GORAULA,244
HAMIDPUR,253
HARJI KI GARHI URF GARHI SURAJ,284
HASANPUR JARAILIA,271
HAZIYAPUR,421
HETALPUR,308
ITWARPUR,243
JADANA,203
JAHAN GARH,300
JAIDPURA,217
JALALPUR,52
JARTAULI,388
JIKARPUR,343
KANSERA,149
KARANPUR,262
KEELPUR,342
KHEDIYA KHURD,373
LAL GARHI,243
MADAK,305
MANPUR,242
NAGAL KALA,217
NAGALA KHURD,173
NAGLIA GORAULA,177
NARBARI,188
NIGUNA SIGUNA,200
PAIMPUR,206
PAKHODANA,135
PALAR,260
PALSERA,190
RASULPUR,7
SHADIPUR,296
SHAHNAGAR SORAULA,220
SIMRAUTHI,177
TAHARPUR,315
TAKIPUR,235
USARAH RASULPUR,432
UTWARA,235
PIPAL GAON,0
BAROULA,0
RAIPUR SUNAMAI,100
TATARGARHI,164
JLALPUR GARIHA,350
BHARERI,117
SANGRAMPUR,59
TEHRA,73
ALAHAPUR GARHIA,28
HAJIPUR CHAUHATTA,136
KHERIA KHAUJA BUDDHA,114
KOTHIA,152
RUSTAMPUR NAIMABAD,185
ALAMPUR SUBKARA,121
BAJGARHI,96
BHAWAEEN,0
DAHELI,63
JANGAL GARHI,108
KHERUPURA,84
MAHESHPUR,108
MIRJAPUR SIYA,9
PADAKA SULTANPUR,83
PRATAPUR,87
RAMNAGAR,0
JAMUNA,334
JIRAULI DHOOM SINGH,176
KADAULI,105
KAKETHAL,243
KHERA KALIYANPUR,167
KALIYANPUR RANI,298
KANAKPUR,152
KHAIRABAD,285
KHANPUR KHITAULI,303
KHEDEA RAFATPUR,344
KHEDIA BAHADUR GARHI,424
KHEDIA TA LOHGARH,102
KIRTHALA,90
KORAH RAGHUPURA,268
KUNJALPUR,224
KUNVARPUR,236
MADHUPUR,165
MAHGAVAN,189
MEER GARHI,326
MOHSANPUR,285
MUHAMADPUR BADHERA,257
NAGLA HARJI,143
NARONA AKAPUR,168
NATHPUR,78
NAUARI,199
ORENIDALPAT,201
PANHARA ABDULLAPUR,120
PANIHARA,436
PENDRA,205
PILKHUNI,66
RAIPUR DALPATPUR,251
RAIPUR MUNZAPTA,141
RAJATAU SEUPUR,69
RAJMARGPUR,143
SAHNAUL,315
SALARPUR,244
SHEKHUPUR,187
SIMTHALA,270
SURAJPUR,156
SURATGARH,313
TEHARA,175
USMANPUR,191
ALIPUR,186
ATA,214
BAHONA KOTRA,97
BANUPURA,232
BARHAUL,217
BARHSERA,366
BHAMAURI KHURD,168
BHAMSOI HUSAINPUR,262
BHIKANPUR,74
BILPURA,149
BISANPUR BAHANPUR,171
BULAPUR,0
CHADAUVA GOVARDHANPUR,323
CHHAUGAWAN,199
DARI ALAWLPUR,75
DATA CHOLI BUZURG,0
DATA CHOLI KHURD,340
DINAPUR,0
DUDHMA,296
GANESHPUR TANAH,135
GOPALPUR,285
HAMIDPUR,361
HARANPUR GAIR AHATMALI,72
HARDOI,323
HARNOT BHOJPUR,338
HUSSAINPUR SHAHJADPUR,367
KAKRALI,332
KANCHANPUR,236
KASIMPUR KHUSHIPUR,2
KASIMPUR NAGRI,63
KHADAVA,143
KHIRIRI MASTIPUR,236
LAHASKI,282
MANDPUR,97
MANPUR BHAUPUR,311
MUZAFFARA,140
NAGALYIA JAHAR,275
NAGLA ALIYA,155
NARUPURA KATKA,43
PALIMUKIMPUR,425
PIDHAUL MAHMODPUR,437
PIPLI,166
PYAVALI,235
RAIPUR KHAS,365
RAJGAON,293
RAM NAGAR,104
RAMPUR CHANDIYANA,128
RANMOCHNA,63
