Uttar Pradesh,AGRA,ETMADPUR,SAWAI,1103,276,827
Uttar Pradesh,AGRA,ETMADPUR,SIKTARA,428,112,316
Uttar Pradesh,AGRA,ETMADPUR,SUJANPUR,240,0,240
Uttar Pradesh,AGRA,ETMADPUR,SUREHRA (MUST.),776,98,678
Uttar Pradesh,AGRA,ETMADPUR,TAMACHGARH,334,75,259
Uttar Pradesh,AGRA,ETMADPUR,TEHU,810,9,801
Uttar Pradesh,AGRA,ETMADPUR,YUSUFPUR,317,193,124
Uttar Pradesh,AGRA,FATEHABAD,AIE,570,570,0
Uttar Pradesh,AGRA,FATEHABAD,BAMRAULI,509,1,508
Uttar Pradesh,AGRA,FATEHABAD,BARNA,556,3,553
Uttar Pradesh,AGRA,FATEHABAD,BASAI,282,14,268
Uttar Pradesh,AGRA,FATEHABAD,BEGAMPUR,230,20,210
Uttar Pradesh,AGRA,FATEHABAD,BHALOKHARA,452,452,0
Uttar Pradesh,AGRA,FATEHABAD,BHARAPUR,798,15,783
Uttar Pradesh,AGRA,FATEHABAD,BHIKANPUR,393,0,393
Uttar Pradesh,AGRA,FATEHABAD,BICHOLA,131,1,130
Uttar Pradesh,AGRA,FATEHABAD,BILONI,244,244,0
Uttar Pradesh,AGRA,FATEHABAD,BILPURA,555,31,524
Uttar Pradesh,AGRA,FATEHABAD,CHAMRAULI,158,2,156
Uttar Pradesh,AGRA,FATEHABAD,DHIMSIRI,1761,593,1168
Uttar Pradesh,AGRA,FATEHABAD,GARHI UDAIRAJ,366,362,4
Uttar Pradesh,AGRA,FATEHABAD,GARI DARYAB,317,6,311
Uttar Pradesh,AGRA,FATEHABAD,GUBRAUTH,435,420,15
Uttar Pradesh,AGRA,FATEHABAD,HIMAYUNPUR EDOIN,378,7,371
Uttar Pradesh,AGRA,FATEHABAD,HUMAYONPUR GUJAR,420,4,416
Uttar Pradesh,AGRA,FATEHABAD,JAGRAJ PURA,287,48,239
Uttar Pradesh,AGRA,FATEHABAD,JARARI,681,681,0
Uttar Pradesh,AGRA,FATEHABAD,JATPURA,179,110,69
Uttar Pradesh,AGRA,FATEHABAD,KALAYAN PUR,291,15,276
Uttar Pradesh,AGRA,FATEHABAD,KANHARPURA,345,345,0
Uttar Pradesh,AGRA,FATEHABAD,KHANDAR,1488,102,1386
Uttar Pradesh,AGRA,AKOLA,BALHERA,543,221,322
Uttar Pradesh,AGRA,AKOLA,BAMAN,876,244,632
Uttar Pradesh,AGRA,AKOLA,BARODA SADAR,262,163,99
Uttar Pradesh,AGRA,AKOLA,BASAI BOBLA,1133,0,1133
Uttar Pradesh,AGRA,AKOLA,BASAIA RAIMOL,803,1,802
Uttar Pradesh,AGRA,AKOLA,BASARAI CHAHAR,768,42,726
Uttar Pradesh,AGRA,AKOLA,BASIA JOTIRAJ,486,486,0
Uttar Pradesh,AGRA,AKOLA,CHAINKORA,659,280,379
Uttar Pradesh,AGRA,AKOLA,DAVLI,0,0,0
Uttar Pradesh,AGRA,AKOLA,GAHARA KALAN,367,0,367
Uttar Pradesh,AGRA,AKOLA,GAHARA KHURD,289,0,289
Uttar Pradesh,AGRA,AKOLA,GAMARI,239,239,0
Uttar Pradesh,AGRA,AKOLA,IKRAM NAGAR,520,167,353
Uttar Pradesh,AGRA,AKOLA,JAIN GARA,892,352,540
Uttar Pradesh,AGRA,AKOLA,JARUA KATRA,1002,64,938
Uttar Pradesh,AGRA,AKOLA,KARAHARA,383,103,280
Uttar Pradesh,AGRA,AKOLA,KHERA BHAGOR,491,20,471
Uttar Pradesh,AGRA,AKOLA,KHERIA,376,167,209
Uttar Pradesh,AGRA,AKOLA,LALAU,581,0,581
Uttar Pradesh,AGRA,AKOLA,MALPURA,1651,342,1309
Uttar Pradesh,AGRA,AKOLA,MANIYAN,331,110,221
Uttar Pradesh,AGRA,AKOLA,MANKENDA,257,257,0
Uttar Pradesh,AGRA,AKOLA,NAGLA SIKARWAR,386,21,365
Uttar Pradesh,AGRA,AKOLA,NAHCHANI,537,510,27
Uttar Pradesh,AGRA,AKOLA,PINANI RAMNAGAR,331,14,317
Uttar Pradesh,AGRA,AKOLA,SALEMABAD,783,25,758
Uttar Pradesh,AGRA,AKOLA,SIROLI,285,150,135
Uttar Pradesh,AGRA,AKOLA,UJARAI,309,0,309
Uttar Pradesh,AGRA,BAH,ABHAYPURA,428,0,428
Uttar Pradesh,AGRA,BAH,BADOUS,360,31,329
Uttar Pradesh,AGRA,BAH,BAMROLI,397,0,397
Uttar Pradesh,AGRA,BAH,BASONI,463,0,463
Uttar Pradesh,AGRA,BAH,BATESHWAR,746,1,745
Uttar Pradesh,AGRA,BAH,BHADROLI,485,0,485
Uttar Pradesh,AGRA,BAH,BICHOULA,601,31,570
Uttar Pradesh,AGRA,BAH,BITHOLI,158,1,157
Uttar Pradesh,AGRA,BAH,CHAMRAUA,594,594,0
