188.2438536544712
AKARABAD,902
GOPI,588
KHURRAMPUR,564
NAGLA BARI,512
KESHOPUR GADRANA,842
KHERA KHURD,527
MAHAMUDPUR JAMALPUR,639
MEERPUR,669
SHAHAPUR,582
SIDHAULI,692
UKHLANA,1416
ARNI,452
BARLA,1650
BUDHARI BUZURG,668
VIJAIGARH DEHAT,510
CHAKATHAL,492
CHAUMUHAN,445
BURHAGAON,515
DATAVALI,640
JIJATHAL,548
KANAUBI,644
KASER,447
NAH,698
PARAURA,608
PURAINI ISMAILPUR,564
PUSAWALI,444
RAJMAU,474
SAMENA TATARPUR,441
SATARAPUR,443
SHADIPUR KAMRUA,769
SHAHJAHANPUR VAIJANA,594
SIHAVALI,528
SUNPEHAR EDALPUR,645
UTARA,576
CHOOHARPUR KINVASA,494
DHATAULI,1213
GAHLAU,606
JAHRAULI,573
KARAULISURJA,443
MAJOOPUR SUVKARA,476
NAGLA MANSUJAN,486
NAGLA SABAL URF GONDA,1275
PAYADAPUR,1440
RAZAWAL,745
TALESARA,448
UTTAMPUR,484
BARHA KALAN,449
BHAIRAGORVA,592
BISAHULI,506
BYOHI,475
GANDHI GRAM,627
GURSIANA,614
HAIVATPUR,441
HASTPUR CHANDFARI,547
JAWAR,937
KARAS,781
MAHOA,554
MANOHARPUR,519
NAGLA MOHAN,490
NAYABAS,540
RUSTAMPUR KHOJAN,575
SATHINI,1407
SUBHASHGRAM,468
TOCHHIGARH,523
CHHALESAR,543
CHHERAT SUDHAL,754
JAWAN SIKANDPUR,597
MANJOOR GARHI,575
SAPERA BHANPUR,716
SUMERA DARIYAPUR,466
SUNAMAI,588
SARI PATTI,638
SIKANDRA,661
SISAIE SIPAH,716
TIKARI,508
UDHOPURKHAGIYA,449
YASINPUR URF KARNAYEEPUR,575
AMILIYA,445
BALAPUR,509
BONGI,510
CHAKA,650
DABHAON,486
GHOGHAPUR,459
HATHIGAN,774
NIBI TALUKA KHURD,476
PURWA KHAS,673
BHIKHAMPUR MAIDWARA,458
BIHKA URF PURA MUFTI,1040
CHIRLA MUNJAPTA,444
DAHARPUR URF BANDHPUR,560
DUARA JAGDISHPUR,791
GANJA,535
GOBINDPUR TAWARA,777
HATHIGHA,1663
IGUWA URF KATHGAWAN,858
JAGDISHPUR CHANDHAN,471
JALALPUR GHOSI,450
JANKA,469
JHALWA,501
JUDAPUR JHINHER URFBARIBOJH,921
KADILPUR TA ADAMPUR,612
KANJIA,852
KAREHADA UPARHAR,767
KARIMUDDINPUR,629
KATHULA GOSPUR,761
KHIZIRPUR UPERHAR,725
KURHA,448
RAYPUR,498
RITHUWA,641
SARAI HARIRAM,525
SARAI SULTANPUR URF LOREDIH,534
SINDHAURA SORON,528
SIRASA,489
UGRSENPUR URF BIBIPUR,609
WARI,665
ANJANA,540
ARA KALAN,883
BARETHI,971
BASGIT,663
BIGAHIYA,596
CHANDOPARA,464
CHATURBHUJPUR,444
DUSAOTII,564
FATUHA,800
TILAKHWAR,491
AMEPUR,473
DEVA,651
GOPALIPUR,896
JAGADISHPUR,523
KIRAON,964
SARAI ALAM MADARI,457
SARAI PITHA,742
SHUKULPUR,511
THARIYA,575
AHIRI,442
ARAI,509
ARJUN PATTI,459
ASAWA DAUTAPUR,830
AURAN,488
AWASANPUR,447
BAMAILA,1026
BARAUT,989
BHITI,1391
MADHOPUR CHANDHAN URFGHATAMPUR,574
MADPUR,475
MANSURABAD,502
MENDARA,1054
MOHIUUDENPUR BARETHA,507
MUNOURPUR,595
NASIRPUR DARGAHI,458
PATANA UPARHAR,466
PIYRI URF BIJALIPUR,648
SAHA URF PIPALGAON,1403
SAMHAI,764
TIKRI,962
ULDA,1177
UTHGI,767
ALLAVA,555
GULCHAPA,614
HAIBATPUR,530
INAYAT PATTI,477
JALALPUR KASBA,969
JAWALA PUR,566
KAHARA,1070
MALETHUWA,621
MUGARSON,520
OASE PUR,744
SANRAYDASU URF HARIPUR,481
SARAI ISMAIL,887
SAWARAN,528
AMILIA TARHAR,442
BILARI,509
CHAK NANDU,456
DHOURA HARA,580
DILIPCHANDPUR,499
DUBAKI KURD,637
HARCHANDPUR,559
ITIHA IBRAHIMPUR,473
JAGUA SODHA,991
JARAHI,498
JASAWAN,593
JATAPUR,452
JAUARA DIH,567
JHIRHARI,663
KATAHARA,591
KISORA,556
KURAKATH,450
LAMAHI,492
MANIKPUR,498
MUGA RAW,762
PAKLUR,536
PRITHVIPUR,485
PURE MATHURADAS,480
RAMNATHI,621
RIKHIPUR,558
SADULAHA,466
SARAYN KASTURIA,481
SARIFPUR,444
SIDHAWAR HARIPUR,562
SIKARAHA,551
SIYA DIH,578
BADAUR,470
BAGHOL,574
BAROKHAR,746
BEHRAICHA,473
BHAGESAR,760
BIRAHA KARPIYA,855
DEEL,460
DUDHARA,569
KAPASI KALAN,508
KHIRI,1419
DEORA,723
DERAWARI,442
JANWAN,535
KAPARI,611
BEMARA,837
NIMI(NIBI),968
UPARDAHA,1344
ARUWAHW,725
BARAI HARAKH,725
CHANDPUR SARAI BHARAT,681
CHAUBARA,627
DAHIAWAN,622
KALYANPUR,1405
MADUPUR RAMNAGAR,554
PERSHOTAMPUR,524
PURAB NARA,1589
SARAI MADANSINGH URF CHANTI,518
SERAWAN,683
UMARIA BADAL URF GAINDA,472
UNCHDIH,571
ASARWAI,457
BASAHARA TARHAR,489
BELAMUNDI,742
BIRWAL,455
CHAMU,576
CHILLA GAUHANI,659
GADAIYA KALAN,628
GAUHANIA,544
JARI,1571
KANJASA UPARHAR,717
KANTI,466
PANDAR,504
LERIYARI,453
MAHULI,1684
NEVADHIYA PAL,489
PASANA,446
PATEHRI,471
PAWARI,460
PURA DATTU,483
RETAURA,475
SAMARIHA,460
SANSARPUR,675
SIKI KALAN,792
TARANV,516
TIKAR,746
ANDHI,790
BADAUA,680
BADOURI,824
BAGHOURA KHAWASAN,764
BANWARI KHAS,1019
BASKARI,534
BELA AHIRAN,565
BERI TAPPA DAIYA,610
ASWAN URF HAJIGANJ,594
BADANPUR,550
BHADRI,871
BHIDEORA,603
DANDOOPUR,470
DIHA,690
GOHRI,1619
KORSAND,619
KRISHNAPUR,487
KURGAON,1131
LEHRA,440
MADHOPUR URF SADHANGANJ,562
MATIYARA,464
MOHAMMADPURNAUGAWAN,783
SARAIBIRSINGH,681
SARAIPHATTE,486
SERSA,510
SEWAITH,1372
SHAHABPUR,1523
RAMPUR,638
SEMRA KALBANA,579
BASAHI,449
BHANDEWARA,447
BHATERAWA,508
DHARAWARA,730
GHATWA,609
HATHSARA,771
KAITHI,561
KAKARAM,771
KAOWA,574
KARCHANA,1046
KATAKA,456
BHARAHA KALA,819
BHARARI - II,752
BHAWANI PUR,854
BHOSARA NOROTTUM,1127
CHAK DEEHA,495
DASWAR,1303
DHANAWAL,698
DHARAVA GAJAPATA,489
DHARO NARA,668
DOHATHA,1697
GAJADHARPUR,861
GIRDHARPUR,957
GORUHA DIH,483
HANDIYA,828
KANEVARA,683
KEDWAR,658
KHURAMA,717
KOSARA KALA,1631
KOSDA KHURD,542
MAJHIGAWAN,1135
MANDA KHAS,1769
MARAR,789
